figure,position,video_id,type,title,subtitle,note,group
abb_kategorie_beauty_score_v01.png,2,7565897317576871190,VI,Beauty-Score | VI | id=871190,"Modell: beauty_mean=41.35 (eher hoher Beauty-Score); sd=9.67; face_frames=6
Menschliche Bewertung des Modells: Beauty-Score=zwischen gut passend und sehr gut passend (4.50/5 Likert-Skala; n=2)",beauty_score_variant_1,beauty_score
abb_kategorie_beauty_score_v01.png,3,7244163083097132334,RI,Beauty-Score | RI | id=132334,"Modell: beauty_mean=24.66 (sehr niedriger Beauty-Score); sd=5.39; face_frames=8
Menschliche Bewertung des Modells: Beauty-Score=zwischen teilweise passend und gut passend (3.50/5 Likert-Skala; n=2)",beauty_score_variant_1,beauty_score
abb_kategorie_skin_smoothness_v01.png,1,7577558634071133454,RI,Hautglättung | RI | id=133454,"Modell: highpass_idx=0.05 (mittel glatte Haut); dog_idx=0.12 (mittel glatte Haut); face_frames=11
Menschliche Bewertung des Modells: Hautglättung=gut passend (4.00/5 Likert-Skala; n=2)",skin_smoothness_variant_1,skin_smoothness
abb_kategorie_skin_smoothness_v01.png,2,7452207597907676424,VI,Hautglättung | VI | id=676424,"Modell: highpass_idx=0.02 (sehr natürliche wenig geglättete Haut); dog_idx=0.05 (eher wenig geglättete Haut); face_frames=33
Menschliche Bewertung des Modells: Hautglättung=teilweise passend (3.00/5 Likert-Skala; n=2)",skin_smoothness_variant_1,skin_smoothness
abb_kategorie_skin_smoothness_v01.png,3,7228975173284744491,RI,Hautglättung | RI | id=744491,"Modell: highpass_idx=0.09 (sehr glatte stark geglättete Haut); dog_idx=0.19 (sehr glatte stark geglättete Haut); face_frames=9
Menschliche Bewertung des Modells: Hautglättung=sehr gut passend (5.00/5 Likert-Skala; n=2)",skin_smoothness_variant_1,skin_smoothness
abb_kategorie_face_orientation_v01.png,1,7467202100674497834,VI,Gesichtsorientierung | VI | id=497834,"Modell: orientation=Frontal; pitch=9.19; yaw=8.57
Menschliche Bewertung des Modells: Gesichtsorientierung=sehr gut passend (5.00/5 Likert-Skala; n=2)",face_orientation_variant_1,face_orientation
abb_kategorie_face_orientation_v01.png,2,7561901530916343095,RI,Gesichtsorientierung | RI | id=343095,"Modell: orientation=Left; pitch=8.45; yaw=-60.00
Menschliche Bewertung des Modells: Gesichtsorientierung=zwischen gut passend und sehr gut passend (4.50/5 Likert-Skala; n=2)",face_orientation_variant_1,face_orientation
abb_kategorie_face_orientation_v01.png,3,7037583058626759941,VI,Gesichtsorientierung | VI | id=759941,"Modell: orientation=Down; pitch=12.59; yaw=-1.18
Menschliche Bewertung des Modells: Gesichtsorientierung=zwischen teilweise passend und gut passend (3.50/5 Likert-Skala; n=2)",face_orientation_variant_1,face_orientation
abb_kategorie_brightness_v01.png,1,7565209380782755075,VI,Helligkeit | VI | id=755075,"Modell: brightness_idx=145.24 (eher hell)
Menschliche Bewertung des Modells: Helligkeit=sehr gut passend (5.00/5 Likert-Skala; n=2)",brightness_variant_1,brightness
abb_kategorie_brightness_v01.png,2,6988896764241693958,VI,Helligkeit | VI | id=693958,"Modell: brightness_idx=125.91 (mittel hell)
Menschliche Bewertung des Modells: Helligkeit=gut passend (4.00/5 Likert-Skala; n=2)",brightness_variant_1,brightness
abb_kategorie_brightness_v01.png,3,7037583058626759941,VI,Helligkeit | VI | id=759941,"Modell: brightness_idx=119.19 (mittel hell)
Menschliche Bewertung des Modells: Helligkeit=gut passend (4.00/5 Likert-Skala; n=2)",brightness_variant_1,brightness
abb_kategorie_contrast_v01.png,1,7512643920539700526,RI,Kontrast | RI | id=700526,"Modell: contrast_idx=61.24 (mittlerer Kontrast)
Menschliche Bewertung des Modells: Kontrast=zwischen gut passend und sehr gut passend (4.50/5 Likert-Skala; n=2)",contrast_variant_1,contrast
abb_kategorie_contrast_v01.png,2,6988896764241693958,VI,Kontrast | VI | id=693958,"Modell: contrast_idx=56.06 (mittlerer Kontrast)
Menschliche Bewertung des Modells: Kontrast=gut passend (4.00/5 Likert-Skala; n=2)",contrast_variant_1,contrast
abb_kategorie_contrast_v01.png,3,7516241082754010414,VI,Kontrast | VI | id=010414,"Modell: contrast_idx=81.31 (sehr hoher Kontrast)
Menschliche Bewertung des Modells: Kontrast=zwischen teilweise passend und gut passend (3.50/5 Likert-Skala; n=2)",contrast_variant_1,contrast
abb_kategorie_saturation_v01.png,1,7565209380782755075,VI,Sättigung | VI | id=755075,"Modell: saturation_idx=62.61 (sehr geringe Farbsättigung)
Menschliche Bewertung des Modells: Sättigung=sehr gut passend (5.00/5 Likert-Skala; n=2)",saturation_variant_1,saturation
abb_kategorie_saturation_v01.png,2,7516241082754010414,VI,Sättigung | VI | id=010414,"Modell: saturation_idx=74.19 (eher geringe Farbsättigung)
Menschliche Bewertung des Modells: Sättigung=gut passend (4.00/5 Likert-Skala; n=2)",saturation_variant_1,saturation
abb_kategorie_saturation_v01.png,3,6988896764241693958,VI,Sättigung | VI | id=693958,"Modell: saturation_idx=74.17 (eher geringe Farbsättigung)
Menschliche Bewertung des Modells: Sättigung=zwischen teilweise passend und gut passend (3.50/5 Likert-Skala; n=2)",saturation_variant_1,saturation
abb_kategorie_sharpness_v01.png,1,7586737085831286071,RI,Schärfe | RI | id=286071,"Modell: laplacian_mean=1594.10 (eher scharf)
Menschliche Bewertung des Modells: Schärfe=zwischen gut passend und sehr gut passend (4.50/5 Likert-Skala; n=2)",sharpness_variant_1,sharpness
abb_kategorie_sharpness_v01.png,2,7452207597907676424,VI,Schärfe | VI | id=676424,"Modell: laplacian_mean=552.28 (eher unscharf)
Menschliche Bewertung des Modells: Schärfe=gut passend (4.00/5 Likert-Skala; n=2)",sharpness_variant_1,sharpness
abb_kategorie_sharpness_v01.png,3,6988896764241693958,VI,Schärfe | VI | id=693958,"Modell: laplacian_mean=350.99 (sehr unscharf)
Menschliche Bewertung des Modells: Schärfe=zwischen teilweise passend und gut passend (3.50/5 Likert-Skala; n=2)",sharpness_variant_1,sharpness
abb_kategorie_aesthetic_quality_v01.png,1,7564790156624973069,RI,Ästhetik | RI | id=973069,"Modell: aesthetic_score=4.21 (eher niedrige visuelle qualitaet); frames=9
Menschliche Bewertung des Modells: Ästhetik=zwischen gut passend und sehr gut passend (4.50/5 Likert-Skala; n=2)",aesthetic_quality_variant_1,aesthetic_quality
abb_kategorie_aesthetic_quality_v01.png,2,7586737085831286071,RI,Ästhetik | RI | id=286071,"Modell: aesthetic_score=3.81 (sehr niedrige visuelle qualitaet); frames=30
Menschliche Bewertung des Modells: Ästhetik=gut passend (4.00/5 Likert-Skala; n=2)",aesthetic_quality_variant_1,aesthetic_quality
abb_kategorie_aesthetic_quality_v01.png,3,7452207597907676424,VI,Ästhetik | VI | id=676424,"Modell: aesthetic_score=3.65 (sehr niedrige visuelle qualitaet); frames=33
Menschliche Bewertung des Modells: Ästhetik=zwischen eher schlecht passend und teilweise passend (2.50/5 Likert-Skala; n=2)",aesthetic_quality_variant_1,aesthetic_quality
abb_kategorie_filter_strength_v01.png,1,6988896764241693958,VI,Filterstärke | VI | id=693958,"Modell: filter=stark (sehr starke Filterwirkung); prob=0.99; frames=12
Menschliche Bewertung des Modells: Filterstärke=zwischen gut passend und sehr gut passend (4.50/5 Likert-Skala; n=2)",filter_strength_variant_1,filter_strength
abb_kategorie_filter_strength_v01.png,2,7037583058626759941,VI,Filterstärke | VI | id=759941,"Modell: filter=stark (sehr starke Filterwirkung); prob=1.00; frames=10
Menschliche Bewertung des Modells: Filterstärke=zwischen gut passend und sehr gut passend (4.50/5 Likert-Skala; n=2)",filter_strength_variant_1,filter_strength
abb_kategorie_filter_strength_v01.png,3,7561901530916343095,RI,Filterstärke | RI | id=343095,"Modell: filter=stark (sehr leichte Filterwirkung); prob=0.96; frames=12
Menschliche Bewertung des Modells: Filterstärke=zwischen teilweise passend und gut passend (3.50/5 Likert-Skala; n=2)",filter_strength_variant_1,filter_strength
abb_kategorie_personen_anzahl_v01.png,1,7565209380782755075,VI,Personenzahl | VI | id=755075,"Modell: persons=1.00; max=1; frames=8
Menschliche Bewertung des Modells: Personenzahl=sehr gut passend (5.00/5 Likert-Skala; n=2)",personen_anzahl_variant_1,personen_anzahl
abb_kategorie_personen_anzahl_v01.png,2,7452207597907676424,VI,Personenzahl | VI | id=676424,"Modell: persons=3.92; max=7; frames=24
Menschliche Bewertung des Modells: Personenzahl=gut passend (4.00/5 Likert-Skala; n=2)",personen_anzahl_variant_1,personen_anzahl
abb_kategorie_personen_anzahl_v01.png,3,7467202100674497834,VI,Personenzahl | VI | id=497834,"Modell: persons=1.50; max=3; frames=10
Menschliche Bewertung des Modells: Personenzahl=gut passend (4.00/5 Likert-Skala; n=2)",personen_anzahl_variant_1,personen_anzahl
abb_datasetbeispiele_vi_ri.png,1,7519336027085999415,VI,VI 1 | VI | id=999415,"Modell: scene=beauty; p=0.96; scene_n=1
Modell: stability_idx=0.83; cuts_s=0.00
Modell: cam=medShot; p=0.98",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri.png,2,7500937479499926806,VI,VI 2 | VI | id=926806,"Modell: scene=stage/indoor; p=0.85; scene_n=1
Modell: stability_idx=0.85; cuts_s=0.00
Modell: cam=medCloseUp; p=0.61",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri.png,3,7524539648954207496,VI,VI 3 | VI | id=207496,"Modell: scene=playroom; p=0.70; scene_n=9
Modell: stability_idx=0.74; cuts_s=0.04
Modell: cam=medCloseUp; p=0.65",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri.png,4,7512643920539700526,RI,RI 1 | RI | id=700526,"Modell: scene=beauty; p=0.95; scene_n=1
Modell: stability_idx=0.79; cuts_s=0.00
Modell: cam=medCloseUp; p=0.80",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri.png,5,7571206423640575246,RI,RI 2 | RI | id=575246,"Modell: scene=airplane; p=0.93; scene_n=1
Modell: stability_idx=0.98; cuts_s=0.00
Modell: cam=medCloseUp; p=0.65",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri.png,6,7520049050889080119,RI,RI 3 | RI | id=080119,"Modell: scene=park; p=0.76; scene_n=1
Modell: stability_idx=0.95; cuts_s=0.02
Modell: cam=medShot; p=0.91",Datensatzbeispiel,scene
abb_human_evaluation_modellplausibilitaet.png,1,7521175951602945293,VI,Szene | VI | id=945293,"Modell: scene=beauty; p=0.52; scene_n=1
Menschliche Bewertung des Modells: Szene=sehr gut passend (5.00/5 Likert-Skala; n=2)",scene_variant_1,human_evaluation_overview
abb_human_evaluation_modellplausibilitaet.png,2,7467202100674497834,VI,Kameradistanz | VI | id=497834,"Modell: distance=medCloseUp; p=0.76; frames=10
Menschliche Bewertung des Modells: Kameradistanz=sehr gut passend (5.00/5 Likert-Skala; n=2)",camera_distance_variant_1,human_evaluation_overview
abb_human_evaluation_modellplausibilitaet.png,3,7586737085831286071,RI,Pose | RI | id=286071,"Modell: pose=running; p=0.38; pose_frames=30
Menschliche Bewertung des Modells: Pose=sehr schlecht passend (1.00/5 Likert-Skala; n=1)",body_pose_variant_1,human_evaluation_overview
abb_visuelle_settings_szenen.png,1,7500937479499926806,VI,VI | stage/indoor | VI | id=926806,"Modell: scene=stage/indoor; p=0.85; scene_n=1
Modell: stability_idx=0.85; cuts_s=0.00
Modell: cam=medCloseUp; p=0.61",Szenenbeispiel,scene
abb_visuelle_settings_szenen.png,2,7524539648954207496,VI,VI | playroom | VI | id=207496,"Modell: scene=playroom; p=0.70; scene_n=9
Modell: stability_idx=0.74; cuts_s=0.04
Modell: cam=medCloseUp; p=0.65",Szenenbeispiel,scene
abb_visuelle_settings_szenen.png,3,7519336027085999415,VI,VI | beauty_salon | VI | id=999415,"Modell: scene=beauty; p=0.96; scene_n=1
Modell: stability_idx=0.83; cuts_s=0.00
Modell: cam=medShot; p=0.98",Szenenbeispiel,scene
abb_visuelle_settings_szenen.png,4,7571206423640575246,RI,RI | airplane_cabin | RI | id=575246,"Modell: scene=airplane; p=0.93; scene_n=1
Modell: stability_idx=0.98; cuts_s=0.00
Modell: cam=medCloseUp; p=0.65",Szenenbeispiel,scene
abb_visuelle_settings_szenen.png,5,7500687358904290603,RI,RI | car_interior | RI | id=290603,"Modell: scene=car; p=0.97; scene_n=7
Modell: stability_idx=0.70; cuts_s=0.09
Modell: cam=medCloseUp; p=0.61",Szenenbeispiel,scene
abb_visuelle_settings_szenen.png,6,7520049050889080119,RI,RI | park | RI | id=080119,"Modell: scene=park; p=0.76; scene_n=1
Modell: stability_idx=0.95; cuts_s=0.02
Modell: cam=medShot; p=0.91",Szenenbeispiel,scene
abb_datasetbeispiele_vi_ri_v02.png,1,7462088004493118766,VI,VI 1 | VI | id=118766,"Modell: scene=beauty; p=0.92; scene_n=1
Modell: stability_idx=0.91; cuts_s=0.00
Modell: cam=medCloseUp; p=0.76",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri_v02.png,2,7520672503920971030,VI,VI 2 | VI | id=971030,"Modell: scene=stage/indoor; p=0.84; scene_n=1
Modell: stability_idx=0.84; cuts_s=0.00
Modell: cam=medShot; p=0.57",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri_v02.png,3,6929732205350538497,VI,VI 3 | VI | id=538497,"Modell: scene=playroom; p=0.57; scene_n=3
Modell: stability_idx=0.66; cuts_s=0.21
Modell: cam=medShot; p=0.85",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri_v02.png,4,7577086972745813262,RI,RI 1 | RI | id=813262,"Modell: scene=beauty; p=0.84; scene_n=1
Modell: stability_idx=0.61; cuts_s=0.02
Modell: cam=closeUp; p=0.59",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri_v02.png,5,7204832049985834283,RI,RI 2 | RI | id=834283,"Modell: scene=airplane; p=0.81; scene_n=19
Modell: stability_idx=0.29; cuts_s=1.14
Modell: cam=medShot; p=0.90",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri_v02.png,6,7522645318085643575,RI,RI 3 | RI | id=643575,"Modell: scene=park; p=0.52; scene_n=1
Modell: stability_idx=0.96; cuts_s=0.01
Modell: cam=medShot; p=0.59",Datensatzbeispiel,scene
abb_human_evaluation_modellplausibilitaet_v02.png,1,7565209380782755075,VI,Emotion | VI | id=755075,"Modell: emotion=Happy; p=0.49; face_frames=8
Menschliche Bewertung des Modells: Emotion=sehr gut passend (5.00/5 Likert-Skala; n=2)",face_emotion_variant_2,human_evaluation_overview
abb_human_evaluation_modellplausibilitaet_v02.png,2,7550501572598320439,RI,Beauty-Score | RI | id=320439,"Modell: beauty_mean=53.10 (sehr hoher Beauty-Score); sd=2.56; face_frames=14
Menschliche Bewertung des Modells: Beauty-Score=gut passend (4.00/5 Likert-Skala; n=2)",beauty_score_variant_2,human_evaluation_overview
abb_human_evaluation_modellplausibilitaet_v02.png,3,7228975173284744491,RI,Hautglättung | RI | id=744491,"Modell: highpass_idx=0.09 (sehr glatte stark geglättete Haut); dog_idx=0.19 (sehr glatte stark geglättete Haut); face_frames=9
Menschliche Bewertung des Modells: Hautglättung=sehr gut passend (5.00/5 Likert-Skala; n=2)",skin_smoothness_variant_2,human_evaluation_overview
abb_visuelle_settings_szenen_v02.png,1,7520672503920971030,VI,VI | stage/indoor | VI | id=971030,"Modell: scene=stage/indoor; p=0.84; scene_n=1
Modell: stability_idx=0.84; cuts_s=0.00
Modell: cam=medShot; p=0.57",Szenenbeispiel,scene
abb_visuelle_settings_szenen_v02.png,2,6929732205350538497,VI,VI | playroom | VI | id=538497,"Modell: scene=playroom; p=0.57; scene_n=3
Modell: stability_idx=0.66; cuts_s=0.21
Modell: cam=medShot; p=0.85",Szenenbeispiel,scene
abb_visuelle_settings_szenen_v02.png,3,7462088004493118766,VI,VI | beauty_salon | VI | id=118766,"Modell: scene=beauty; p=0.92; scene_n=1
Modell: stability_idx=0.91; cuts_s=0.00
Modell: cam=medCloseUp; p=0.76",Szenenbeispiel,scene
abb_visuelle_settings_szenen_v02.png,4,7204832049985834283,RI,RI | airplane_cabin | RI | id=834283,"Modell: scene=airplane; p=0.81; scene_n=19
Modell: stability_idx=0.29; cuts_s=1.14
Modell: cam=medShot; p=0.90",Szenenbeispiel,scene
abb_visuelle_settings_szenen_v02.png,5,7555600275784928525,RI,RI | car_interior | RI | id=928525,"Modell: scene=car; p=0.78; scene_n=2
Modell: stability_idx=0.96; cuts_s=0.00
Modell: cam=medCloseUp; p=0.57",Szenenbeispiel,scene
abb_visuelle_settings_szenen_v02.png,6,7522645318085643575,RI,RI | park | RI | id=643575,"Modell: scene=park; p=0.52; scene_n=1
Modell: stability_idx=0.96; cuts_s=0.01
Modell: cam=medShot; p=0.59",Szenenbeispiel,scene
abb_kategorie_scene_v02.png,1,7516241082754010414,VI,Szene | VI | id=010414,"Modell: scene=desert/sand; p=0.34; scene_n=3
Menschliche Bewertung des Modells: Szene=sehr gut passend (5.00/5 Likert-Skala; n=2)",scene_variant_2,scene
abb_kategorie_scene_v02.png,2,7452207597907676424,VI,Szene | VI | id=676424,"Modell: scene=playroom; p=0.32; scene_n=11
Menschliche Bewertung des Modells: Szene=teilweise passend (3.00/5 Likert-Skala; n=2)",scene_variant_2,scene
abb_kategorie_scene_v02.png,3,7129589619099847982,VI,Szene | VI | id=847982,"Modell: scene=beauty; p=0.35; scene_n=4
Menschliche Bewertung des Modells: Szene=sehr schlecht passend (1.00/5 Likert-Skala; n=2)",scene_variant_2,scene
abb_kategorie_camera_distance_v02.png,1,7467202100674497834,VI,Kameradistanz | VI | id=497834,"Modell: distance=medCloseUp; p=0.76; frames=10
Menschliche Bewertung des Modells: Kameradistanz=sehr gut passend (5.00/5 Likert-Skala; n=2)",camera_distance_variant_2,camera_distance
abb_kategorie_camera_distance_v02.png,2,7565209380782755075,VI,Kameradistanz | VI | id=755075,"Modell: distance=medShot; p=0.97; frames=8
Menschliche Bewertung des Modells: Kameradistanz=sehr gut passend (5.00/5 Likert-Skala; n=2)",camera_distance_variant_2,camera_distance
